epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1357.51,0.00392,0.35238,1.06819,0.99845,1,0.995,0.72357,0.00773,0.43705,1.34918,0.0003565,0.0003565,0.0003565
67,1378.19,0.0038,0.33947,1.05912,0.99839,1,0.995,0.84832,0.00475,0.34011,1.083,0.0003466,0.0003466,0.0003466
68,1398.51,0.00375,0.34013,1.06868,0.99816,1,0.995,0.82713,0.00529,0.37612,1.12069,0.0003367,0.0003367,0.0003367
69,1418.55,0.00354,0.31775,1.03639,0.99772,1,0.995,0.81116,0.00617,0.39352,1.21164,0.0003268,0.0003268,0.0003268
70,1438.97,0.00372,0.33249,1.05402,0.99832,1,0.995,0.81915,0.00569,0.39185,1.20331,0.0003169,0.0003169,0.0003169
71,1459.53,0.00373,0.33301,1.05632,1,1,0.995,0.84061,0.00503,0.33939,1.12257,0.000307,0.000307,0.000307
72,1479.77,0.00358,0.32426,1.04356,1,1,0.995,0.83649,0.00538,0.35869,1.12026,0.0002971,0.0002971,0.0002971
73,1500.03,0.00368,0.32431,1.04788,0.99833,1,0.995,0.85567,0.00484,0.35633,1.10339,0.0002872,0.0002872,0.0002872
74,1520.53,0.00348,0.31934,1.03165,0.99846,1,0.995,0.8223,0.00598,0.36227,1.23045,0.0002773,0.0002773,0.0002773
75,1540.77,0.00348,0.3205,1.02968,0.99815,1,0.995,0.81764,0.00602,0.39001,1.17482,0.0002674,0.0002674,0.0002674
76,1561.07,0.00351,0.3134,1.0241,0.99831,1,0.995,0.83389,0.00531,0.36563,1.12822,0.0002575,0.0002575,0.0002575
77,1581.48,0.00337,0.30494,1.01953,0.99842,1,0.995,0.83721,0.00502,0.3362,1.10048,0.0002476,0.0002476,0.0002476
78,1602.02,0.00346,0.31383,1.03378,0.99841,1,0.995,0.83439,0.00525,0.35142,1.08085,0.0002377,0.0002377,0.0002377
79,1622.67,0.00354,0.32153,1.02835,0.99848,1,0.995,0.84062,0.00512,0.34079,1.10405,0.0002278,0.0002278,0.0002278
80,1643.03,0.00353,0.31065,1.02103,0.99841,1,0.995,0.82442,0.00571,0.35792,1.15068,0.0002179,0.0002179,0.0002179
81,1663.42,0.00335,0.30555,1.02689,0.9985,1,0.995,0.85329,0.00493,0.32135,1.09555,0.000208,0.000208,0.000208
82,1683.69,0.00334,0.30792,1.01983,1,1,0.995,0.83938,0.00501,0.34407,1.1135,0.0001981,0.0001981,0.0001981
83,1704.04,0.00318,0.28656,1.00153,1,1,0.995,0.8589,0.00483,0.29474,1.07224,0.0001882,0.0001882,0.0001882
84,1724.52,0.00317,0.29187,1.00431,0.99855,1,0.995,0.84193,0.00528,0.29727,1.09397,0.0001783,0.0001783,0.0001783
85,1745.13,0.00321,0.29375,1.01695,0.99856,1,0.995,0.85246,0.00497,0.2944,1.07161,0.0001684,0.0001684,0.0001684
